epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,566.1,1.41802,2.30846,1.43727,0.60469,0.54154,0.58125,0.30419,1.5481,2.25768,1.42185,0.000472641,0.000472641,0.000472641
2,1308.35,1.52256,1.81942,1.50517,0.50166,0.43072,0.43578,0.22234,1.61241,2.01137,1.54961,0.000930184,0.000930184,0.000930184
3,1907.6,1.55361,1.76381,1.53029,0.27395,0.20896,0.14945,0.07099,1.94984,3.43856,1.9937,0.00136887,0.00136887,0.00136887
4,2489.5,1.56989,1.68254,1.54054,0.5396,0.41168,0.44358,0.21194,1.68731,2.02621,1.6053,0.00134412,0.00134412,0.00134412
5,3070.19,1.52859,1.58695,1.51115,0.66295,0.35856,0.42037,0.20754,1.65577,1.93149,1.61033,0.00131582,0.00131582,0.00131582
6,3628.36,1.48658,1.52055,1.48659,0.59032,0.53953,0.53537,0.28017,1.63619,1.57819,1.53731,0.00128753,0.00128753,0.00128753
7,4187.25,1.4615,1.44877,1.46977,0.50644,0.48631,0.5146,0.26238,1.58481,1.57324,1.52399,0.00125923,0.00125923,0.00125923
8,4747.99,1.46667,1.44121,1.47727,0.62706,0.49512,0.54803,0.27015,1.64533,1.60703,1.54784,0.00123094,0.00123094,0.00123094
9,5294.21,1.44207,1.38435,1.45652,0.73776,0.45768,0.57324,0.30875,1.59267,1.57078,1.50895,0.00120265,0.00120265,0.00120265
10,5859.68,1.41775,1.34076,1.43637,0.67927,0.51636,0.57219,0.294,1.59195,1.50512,1.56126,0.00117435,0.00117435,0.00117435
11,6429.85,1.39401,1.30745,1.42743,0.66502,0.54678,0.60351,0.31832,1.56695,1.64419,1.55694,0.00114606,0.00114606,0.00114606
12,6994.98,1.3761,1.26156,1.40922,0.7062,0.59032,0.65021,0.32884,1.56986,1.33529,1.48942,0.00111776,0.00111776,0.00111776
13,7560.58,1.34299,1.23976,1.38665,0.71351,0.5569,0.6295,0.32524,1.62644,1.46161,1.57533,0.00108947,0.00108947,0.00108947
14,8107.74,1.34618,1.21221,1.3867,0.66463,0.60022,0.62088,0.30925,1.58787,1.54197,1.53012,0.00106118,0.00106118,0.00106118
15,8672.93,1.32782,1.20011,1.37963,0.6244,0.48136,0.53465,0.27769,1.66934,1.53285,1.57642,0.00103288,0.00103288,0.00103288
16,9235.92,1.30027,1.17612,1.36501,0.60103,0.58248,0.60641,0.32564,1.53049,1.35561,1.46932,0.00100459,0.00100459,0.00100459
17,9777.72,1.29886,1.1517,1.35675,0.68701,0.54544,0.62107,0.33327,1.56664,1.41474,1.5129,0.000976293,0.000976293,0.000976293
18,10339.1,1.27586,1.12005,1.34076,0.72652,0.58187,0.64725,0.34948,1.51288,1.25451,1.44791,0.000947999,0.000947999,0.000947999
19,10889.8,1.26774,1.11009,1.3357,0.65914,0.57093,0.6192,0.34008,1.51706,1.36212,1.47859,0.000919704,0.000919704,0.000919704
20,11471.9,1.27586,1.11024,1.34436,0.63167,0.58883,0.6476,0.3528,1.49698,1.31931,1.4376,0.00089141,0.00089141,0.00089141
21,12050.2,1.24971,1.07528,1.3225,0.7262,0.60744,0.67217,0.34421,1.54713,1.30941,1.47782,0.000863116,0.000863116,0.000863116
22,12635.1,1.24131,1.07005,1.30878,0.68867,0.6572,0.68944,0.36682,1.50149,1.2007,1.44584,0.000834822,0.000834822,0.000834822
23,13217.1,1.22519,1.06054,1.31567,0.72179,0.61661,0.68034,0.36511,1.49862,1.30349,1.47065,0.000806528,0.000806528,0.000806528
24,13786.9,1.22622,1.0412,1.30718,0.66693,0.60951,0.63239,0.35839,1.46656,1.27822,1.43937,0.000778233,0.000778233,0.000778233
25,14358.5,1.21182,1.02718,1.29868,0.74907,0.57535,0.67312,0.37404,1.48843,1.21174,1.43293,0.000749939,0.000749939,0.000749939
26,14928.1,1.19603,0.99368,1.28767,0.65135,0.65618,0.67945,0.37314,1.49917,1.21689,1.44374,0.000721645,0.000721645,0.000721645
27,15505.9,1.19684,0.99169,1.27965,0.60673,0.57104,0.61011,0.33616,1.51663,1.30592,1.4571,0.000693351,0.000693351,0.000693351
28,16090.1,1.18662,0.96447,1.2825,0.66657,0.6214,0.67311,0.37261,1.48253,1.26613,1.43865,0.000665057,0.000665057,0.000665057
29,16649.4,1.1694,0.96893,1.26953,0.72317,0.65404,0.71082,0.40259,1.43885,1.1015,1.38852,0.000636762,0.000636762,0.000636762
30,17206.2,1.1587,0.95,1.27101,0.76975,0.62396,0.69319,0.38218,1.47565,1.18917,1.41618,0.000608468,0.000608468,0.000608468
31,17772,1.13534,0.92726,1.24723,0.68846,0.66789,0.69387,0.38316,1.46254,1.19844,1.42191,0.000580174,0.000580174,0.000580174
32,18349.9,1.14817,0.92063,1.25426,0.71885,0.65897,0.7118,0.40137,1.48564,1.16271,1.42125,0.00055188,0.00055188,0.00055188
33,18921.7,1.11802,0.90304,1.23237,0.77504,0.59057,0.68966,0.37856,1.51177,1.26759,1.46105,0.000523586,0.000523586,0.000523586
34,19487.9,1.12314,0.89839,1.24215,0.74896,0.69057,0.74522,0.41534,1.42077,1.07376,1.3772,0.000495291,0.000495291,0.000495291
35,20047,1.12835,0.89032,1.23607,0.75637,0.61688,0.71121,0.40091,1.41953,1.12077,1.38887,0.000466997,0.000466997,0.000466997
36,20601,1.11226,0.87202,1.22989,0.75778,0.61516,0.712,0.39866,1.45102,1.10153,1.39892,0.000438703,0.000438703,0.000438703
37,21152.1,1.10066,0.85367,1.21721,0.82353,0.62877,0.74015,0.41038,1.45163,1.0846,1.39582,0.000410409,0.000410409,0.000410409
38,21702.2,1.08281,0.84369,1.21297,0.67459,0.65862,0.69963,0.39305,1.46382,1.15196,1.41527,0.000382115,0.000382115,0.000382115
39,22245.3,1.07785,0.83356,1.21121,0.77835,0.65649,0.73753,0.41374,1.44061,1.10415,1.39288,0.00035382,0.00035382,0.00035382
40,22797.6,1.07073,0.82349,1.20114,0.79766,0.63936,0.72284,0.40956,1.47952,1.10643,1.42622,0.000325526,0.000325526,0.000325526
41,23335.8,1.00939,0.7338,1.16735,0.78194,0.68749,0.74844,0.40925,1.46536,1.06907,1.41353,0.000297232,0.000297232,0.000297232
42,23878.4,0.98398,0.69581,1.1513,0.78648,0.63883,0.73744,0.4204,1.4275,1.0615,1.38886,0.000268938,0.000268938,0.000268938
43,24422.1,0.9686,0.68565,1.13872,0.76435,0.67375,0.741,0.40971,1.44671,1.1325,1.41224,0.000240644,0.000240644,0.000240644
44,24963.4,0.95351,0.68146,1.13605,0.77078,0.66025,0.73353,0.41988,1.43372,1.09262,1.39639,0.000212349,0.000212349,0.000212349
45,25500.5,0.94539,0.66086,1.12837,0.78927,0.65827,0.75318,0.42636,1.43578,1.07434,1.3946,0.000184055,0.000184055,0.000184055
46,26041.4,0.93018,0.64479,1.11981,0.81186,0.64134,0.73926,0.42228,1.44474,1.09262,1.40005,0.000155761,0.000155761,0.000155761
47,26560.2,0.92513,0.63891,1.11338,0.77077,0.69863,0.7546,0.42997,1.43793,1.08282,1.38944,0.000127467,0.000127467,0.000127467
48,27080.3,0.91501,0.62341,1.10738,0.81619,0.6697,0.75286,0.42989,1.43958,1.10085,1.3975,9.91726e-05,9.91726e-05,9.91726e-05
49,27598.7,0.91128,0.62579,1.10396,0.82359,0.6531,0.74805,0.42881,1.43936,1.10244,1.39678,7.08784e-05,7.08784e-05,7.08784e-05
50,28120.2,0.89552,0.61568,1.09951,0.78244,0.68028,0.74739,0.43118,1.43155,1.10832,1.39239,4.25842e-05,4.25842e-05,4.25842e-05
